"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","block_number","stimulus_displayed","violation_type","species","fam_duration","response","question_order"
"true","fullscreen","0","1770532","0.0-0.0","SS1692886597636","","","","","","","","","","","","","",""
"","survey-text","1","1809578","0.0-1.0","SS1692886597636","38579.5","{""Age"":""261"",""Gender"":""F""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","1817624","0.0-2.0","SS1692886597636","7945.5","","stimuli/audio/music_intro.wav","39","","","","","","","","","",""
"","html-keyboard-response","3","1818930","0.0-3.0","SS1692886597636","1303.7000000476837","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","4","1908909","0.0-4.0","SS1692886597636","89977.5","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","1921728","0.0-5.0","SS1692886597636","12818.299999952316","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","1930130","0.0-6.0","SS1692886597636","8401.799999952316","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","1936494","0.0-7.0","SS1692886597636","6363.299999952316","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","1936981","0.0-8.0","SS1692886597636","487.2999999523163","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","1946822","0.0-9.0","SS1692886597636","9840.399999856949","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","1987338","0.0-10.0","SS1692886597636","40516.39999985695","","","","[{""page_index"":0,""viewing_time"":40516.09999990463}]","","","","","","","","",""
"","video-keyboard-response","11","2006998","0.0-11.0","SS1692886597636","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","2011628","0.0-12.0","SS1692886597636","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","2081686","0.0-13.0","SS1692886597636","70055","","[""stimuli/images/unity_stims/fam8/identity/animate_05_8fam_identity_new.mp4""]","39","","trial","36","1","stimuli/images/unity_stims/fam8/identity/animate_05_8fam_identity_new.mp4","identity","5","8","",""
"","html-keyboard-response","14","2082903","0.0-14.0","SS1692886597636","1216.5","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","15","2087529","0.0-15.0","SS1692886597636","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","2150268","0.0-16.0","SS1692886597636","62736","","[""stimuli/images/unity_stims/fam9/pose/animate_03_9fam_pose_new.mp4""]","39","","trial","36","2","stimuli/images/unity_stims/fam9/pose/animate_03_9fam_pose_new.mp4","pose","3","9","",""
"","html-keyboard-response","17","2151228","0.0-17.0","SS1692886597636","959.2000000476837","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","18","2155846","0.0-18.0","SS1692886597636","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","2211036","0.0-19.0","SS1692886597636","55188","","[""stimuli/images/unity_stims/fam9/background/animate_01_9fam_background_new.mp4""]","39","","trial","36","3","stimuli/images/unity_stims/fam9/background/animate_01_9fam_background_new.mp4","background","1","9","",""
"","html-keyboard-response","20","2212020","0.0-20.0","SS1692886597636","983.1000001430511","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","21","2216649","0.0-21.0","SS1692886597636","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","22","2264885","0.0-22.0","SS1692886597636","48234.10000014305","","[""stimuli/images/unity_stims/fam8/number/animate_02_8fam_number_new.mp4""]","39","","trial","36","4","stimuli/images/unity_stims/fam8/number/animate_02_8fam_number_new.mp4","number","2","8","",""
"","video-keyboard-response","23","2288021","0.0-23.0","SS1692886597636","null","","[""stimuli/images/calibration_end.mp4""]","null","","calibration_end","","","","","","","",""
"","html-keyboard-response","24","2303467","0.0-24.0","SS1692886597636","15446.100000143051","","<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300; background-color: white; padding-right: 63.61px; padding-left: 63.61px; padding-bottom: 306.84px; padding-top: 306.84px; ""> That's it! Thank you so much for your participation! </span></p>","39","","","","","","","","","",""
"","survey-multi-choice","25","2342447","0.0-25.0","SS1692886597636","38976","","","","","","","","","","","","{""Consent"":""<b>Option 2 (Scientific and Educational)</b>: You would like to share child’s data with other researchers or students for scientific or educational purposes. </h1>""}","0"
