"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","block_number","stimulus_displayed","violation_type","species","fam_duration","response","question_order"
"true","fullscreen","0","2157","0.0-0.0","SS1692112628049","","","","","","","","","","","","","",""
"","survey-text","1","80019","0.0-1.0","SS1692112628049","77842","{""Age"":""228"",""Gender"":""F""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","103620","0.0-2.0","SS1692112628049","23594.999999999985","","stimuli/audio/music_intro.wav","32","","","","","","","","","",""
"","html-keyboard-response","3","105587","0.0-3.0","SS1692112628049","1962.9999999999854","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","32","","","","","","","","","",""
"","html-keyboard-response","4","216151","0.0-4.0","SS1692112628049","110566","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","32","","","","","","","","","",""
"","html-keyboard-response","5","240889","0.0-5.0","SS1692112628049","24736","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","32","","","","","","","","","",""
"","html-keyboard-response","6","254467","0.0-6.0","SS1692112628049","13576","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","32","","","","","","","","","",""
"","html-keyboard-response","7","270362","0.0-7.0","SS1692112628049","15894","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","32","","","","","","","","","",""
"","html-keyboard-response","8","279651","0.0-8.0","SS1692112628049","9288","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","32","","","","","","","","","",""
"","html-keyboard-response","9","464550","0.0-9.0","SS1692112628049","184901","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","32","","","","","","","","","",""
"","instructions","10","467922","0.0-10.0","SS1692112628049","3371","","","","[{""page_index"":0,""viewing_time"":3370}]","","","","","","","","",""
"","video-keyboard-response","11","486597","0.0-11.0","SS1692112628049","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","491364","0.0-12.0","SS1692112628049","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","561159","0.0-13.0","SS1692112628049","69786.00000000012","","[""stimuli/images/unity_stims/fam8/animacy/animate_01_8fam_animacy_new.mp4""]","32","","trial","21","1","stimuli/images/unity_stims/fam8/animacy/animate_01_8fam_animacy_new.mp4","animacy","1","8","",""
"","html-keyboard-response","14","561693","0.0-14.0","SS1692112628049","533","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","32","","between_block","","","","","","","",""
"","video-keyboard-response","15","566466","0.0-15.0","SS1692112628049","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","621453","0.0-16.0","SS1692112628049","54983","","[""stimuli/images/unity_stims/fam8/background/animate_04_8fam_background_new.mp4""]","32","","trial","21","2","stimuli/images/unity_stims/fam8/background/animate_04_8fam_background_new.mp4","background","4","8","",""
"","html-keyboard-response","17","622199","0.0-17.0","SS1692112628049","745","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","32","","between_block","","","","","","","",""
"","video-keyboard-response","18","626968","0.0-18.0","SS1692112628049","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","696675","0.0-19.0","SS1692112628049","69702","","[""stimuli/images/unity_stims/fam9/identity/animate_02_9fam_identity_new.mp4""]","32","","trial","21","3","stimuli/images/unity_stims/fam9/identity/animate_02_9fam_identity_new.mp4","identity","2","9","",""
"","html-keyboard-response","20","697314","0.0-20.0","SS1692112628049","639","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","32","","between_block","","","","","","","",""
"","video-keyboard-response","21","702124","0.0-21.0","SS1692112628049","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","22","769529","0.0-22.0","SS1692112628049","67402","","[""stimuli/images/unity_stims/fam9/number/animate_05_9fam_number_new.mp4""]","32","","trial","21","4","stimuli/images/unity_stims/fam9/number/animate_05_9fam_number_new.mp4","number","5","9","",""
"","video-keyboard-response","23","784849","0.0-23.0","SS1692112628049","15279","","[""stimuli/images/calibration_end.mp4""]","32","","calibration_end","","","","","","","",""
"","html-keyboard-response","24","808047","0.0-24.0","SS1692112628049","23197.999999999884","","<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300; background-color: white; padding-right: 63.61px; padding-left: 63.61px; padding-bottom: 306.84px; padding-top: 306.84px; ""> That's it! Thank you so much for your participation! </span></p>","32","","","","","","","","","",""
"","survey-multi-choice","25","848276","0.0-25.0","SS1692112628049","40227.00000000012","","","","","","","","","","","","{""Consent"":""<b>Option 2 (Scientific and Educational)</b>: You would like to share childâ€™s data with other researchers or students for scientific or educational purposes. </h1>""}","0"
