"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","block_number","stimulus_displayed","violation_type","species","fam_duration","response","question_order"
"true","fullscreen","0","118382","0.0-0.0","SS1693411049099","","","","","","","","","","","","","",""
"","survey-text","1","133623","0.0-1.0","SS1693411049099","15233","{""Age"":""350"",""Gender"":""M""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","143532","0.0-2.0","SS1693411049099","9907.099999997765","","stimuli/audio/music_intro.wav","39","","","","","","","","","",""
"","html-keyboard-response","3","144844","0.0-3.0","SS1693411049099","1309.699999999255","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","4","244963","0.0-4.0","SS1693411049099","100119.60000000149","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","268313","0.0-5.0","SS1693411049099","23350.199999999255","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","283450","0.0-6.0","SS1693411049099","15136.099999997765","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","322940","0.0-7.0","SS1693411049099","39489.60000000149","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","347589","0.0-8.0","SS1693411049099","24648.5","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","491682","0.0-9.0","SS1693411049099","144093.69999999925","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","492230","0.0-10.0","SS1693411049099","546.8000000007451","","","","[{""page_index"":0,""viewing_time"":546.6000000014901}]","","","","","","","","",""
"","video-keyboard-response","11","510489","0.0-11.0","SS1693411049099","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","515149","0.0-12.0","SS1693411049099","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","592273","0.0-13.0","SS1693411049099","77122.5","","[""stimuli/images/unity_stims/fam8/background/animate_05_8fam_background_new.mp4""]","39","","trial","53","1","stimuli/images/unity_stims/fam8/background/animate_05_8fam_background_new.mp4","background","5","8","",""
"","html-keyboard-response","14","593118","0.0-14.0","SS1693411049099","844.1999999992549","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","15","597795","0.0-15.0","SS1693411049099","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","683944","0.0-16.0","SS1693411049099","86148","","[""stimuli/images/unity_stims/fam9/animacy/animate_02_9fam_animacy_new.mp4""]","39","","trial","53","2","stimuli/images/unity_stims/fam9/animacy/animate_02_9fam_animacy_new.mp4","animacy","2","9","",""
"","html-keyboard-response","17","684924","0.0-17.0","SS1693411049099","978.5999999977648","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","18","689596","0.0-18.0","SS1693411049099","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","757007","0.0-19.0","SS1693411049099","67409.5","","[""stimuli/images/unity_stims/fam9/number/animate_06_9fam_number_new.mp4""]","39","","trial","53","3","stimuli/images/unity_stims/fam9/number/animate_06_9fam_number_new.mp4","number","6","9","",""
"","html-keyboard-response","20","763156","0.0-20.0","SS1693411049099","6148.300000000745","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","21","767843","0.0-21.0","SS1693411049099","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","22","792657","0.0-22.0","SS1693411049099","24811.89999999851","","[""stimuli/images/unity_stims/fam8/pose/animate_04_8fam_pose_new.mp4""]","39","","trial","53","4","stimuli/images/unity_stims/fam8/pose/animate_04_8fam_pose_new.mp4","pose","4","8","",""
"","video-keyboard-response","23","815800","0.0-23.0","SS1693411049099","null","","[""stimuli/images/calibration_end.mp4""]","null","","calibration_end","","","","","","","",""
"","html-keyboard-response","24","829072","0.0-24.0","SS1693411049099","13271.39999999851","","<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300; background-color: white; padding-right: 63.61px; padding-left: 63.61px; padding-bottom: 306.84px; padding-top: 306.84px; ""> That's it! Thank you so much for your participation! </span></p>","39","","","","","","","","","",""
"","survey-multi-choice","25","856083","0.0-25.0","SS1693411049099","27008.400000002235","","","","","","","","","","","","{""Consent"":""<b>Option 2 (Scientific and Educational)</b>: You would like to share child’s data with other researchers or students for scientific or educational purposes. </h1>""}","0"
