"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","block_number","stimulus_displayed","violation_type","species","fam_duration","response","question_order"
"true","fullscreen","0","1901","0.0-0.0","SS1692312827540","","","","","","","","","","","","","",""
"","survey-text","1","9134","0.0-1.0","SS1692312827540","7230.799999952316","{""Age"":""330"",""Gender"":""F""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","14143","0.0-2.0","SS1692312827540","5007.5","","stimuli/audio/music_intro.wav","39","","","","","","","","","",""
"","html-keyboard-response","3","16932","0.0-3.0","SS1692312827540","2787.7999999523163","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","4","89438","0.0-4.0","SS1692312827540","72504.70000004768","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","113164","0.0-5.0","SS1692312827540","23724.799999952316","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","141719","0.0-6.0","SS1692312827540","28554","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","155723","0.0-7.0","SS1692312827540","14003.899999856949","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","156557","0.0-8.0","SS1692312827540","832.8999998569489","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","305223","0.0-9.0","SS1692312827540","148684.90000009537","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","305841","0.0-10.0","SS1692312827540","618","","","","[{""page_index"":0,""viewing_time"":617.7999999523163}]","","","","","","","","",""
"","video-keyboard-response","11","324083","0.0-11.0","SS1692312827540","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","328742","0.0-12.0","SS1692312827540","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","415402","0.0-13.0","SS1692312827540","86658.20000004768","","[""stimuli/images/unity_stims/fam8/identity/animate_01_8fam_identity_new.mp4""]","39","","trial","26","1","stimuli/images/unity_stims/fam8/identity/animate_01_8fam_identity_new.mp4","identity","1","8","",""
"","html-keyboard-response","14","415903","0.0-14.0","SS1692312827540","501.2000000476837","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","15","420558","0.0-15.0","SS1692312827540","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","509124","0.0-16.0","SS1692312827540","88564.20000004768","","[""stimuli/images/unity_stims/fam9/background/animate_05_9fam_background_new.mp4""]","39","","trial","26","2","stimuli/images/unity_stims/fam9/background/animate_05_9fam_background_new.mp4","background","5","9","",""
"","html-keyboard-response","17","509699","0.0-17.0","SS1692312827540","574.2999999523163","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","18","514361","0.0-18.0","SS1692312827540","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","597514","0.0-19.0","SS1692312827540","83151.39999985695","","[""stimuli/images/unity_stims/fam8/animacy/animate_03_8fam_animacy_new.mp4""]","39","","trial","26","3","stimuli/images/unity_stims/fam8/animacy/animate_03_8fam_animacy_new.mp4","animacy","3","8","",""
"","html-keyboard-response","20","602691","0.0-20.0","SS1692312827540","5175.700000047684","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","21","607355","0.0-21.0","SS1692312827540","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","22","670624","0.0-22.0","SS1692312827540","63266.5","","[""stimuli/images/unity_stims/fam9/number/animate_06_9fam_number_new.mp4""]","39","","trial","26","4","stimuli/images/unity_stims/fam9/number/animate_06_9fam_number_new.mp4","number","6","9","",""
"","video-keyboard-response","23","693739","0.0-23.0","SS1692312827540","null","","[""stimuli/images/calibration_end.mp4""]","null","","calibration_end","","","","","","","",""
"","html-keyboard-response","24","707147","0.0-24.0","SS1692312827540","13407.900000095367","","<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300; background-color: white; padding-right: 63.61px; padding-left: 63.61px; padding-bottom: 306.84px; padding-top: 306.84px; ""> That's it! Thank you so much for your participation! </span></p>","39","","","","","","","","","",""
"","survey-multi-choice","25","724211","0.0-25.0","SS1692312827540","17062.699999809265","","","","","","","","","","","","{""Consent"":""<b>Option 2 (Scientific and Educational)</b>: You would like to share child’s data with other researchers or students for scientific or educational purposes. </h1>""}","0"
