"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","block_number","stimulus_displayed","violation_type","species","fam_duration","response","question_order"
"true","fullscreen","0","1881","0.0-0.0","SS1693062133632","","","","","","","","","","","","","",""
"","survey-text","1","8224","0.0-1.0","SS1693062133632","6340.800000190735","{""Age"":""233"",""Gender"":""F""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","15431","0.0-2.0","SS1693062133632","7205.800000190735","","stimuli/audio/music_intro.wav","39","","","","","","","","","",""
"","html-keyboard-response","3","17132","0.0-3.0","SS1693062133632","1700","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","4","115771","0.0-4.0","SS1693062133632","98639.80000019073","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","153158","0.0-5.0","SS1693062133632","37386.59999990463","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","165350","0.0-6.0","SS1693062133632","12192.099999904633","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","174275","0.0-7.0","SS1693062133632","8924.5","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","176118","0.0-8.0","SS1693062133632","1842.6000003814697","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","279266","0.0-9.0","SS1693062133632","103148.59999990463","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","280295","0.0-10.0","SS1693062133632","1027.5","","","","[{""page_index"":0,""viewing_time"":1027.2999997138977}]","","","","","","","","",""
"","video-keyboard-response","11","298590","0.0-11.0","SS1693062133632","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","303227","0.0-12.0","SS1693062133632","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","361760","0.0-13.0","SS1693062133632","58532.699999809265","","[""stimuli/images/unity_stims/fam9/identity/animate_03_9fam_identity_new.mp4""]","39","","trial","44","1","stimuli/images/unity_stims/fam9/identity/animate_03_9fam_identity_new.mp4","identity","3","9","",""
"","html-keyboard-response","14","362651","0.0-14.0","SS1693062133632","889.5999999046326","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","15","367291","0.0-15.0","SS1693062133632","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","472615","0.0-16.0","SS1693062133632","null","","[""stimuli/images/unity_stims/fam9/animacy/animate_02_9fam_animacy_new.mp4""]","null","","trial","44","2","stimuli/images/unity_stims/fam9/animacy/animate_02_9fam_animacy_new.mp4","animacy","2","9","",""
"","html-keyboard-response","17","474421","0.0-17.0","SS1693062133632","1806.1999998092651","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","18","479081","0.0-18.0","SS1693062133632","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","557158","0.0-19.0","SS1693062133632","78076.90000009537","","[""stimuli/images/unity_stims/fam8/pose/animate_01_8fam_pose_new.mp4""]","39","","trial","44","3","stimuli/images/unity_stims/fam8/pose/animate_01_8fam_pose_new.mp4","pose","1","8","",""
"","html-keyboard-response","20","557717","0.0-20.0","SS1693062133632","558.3999996185303","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","21","562363","0.0-21.0","SS1693062133632","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","22","636532","0.0-22.0","SS1693062133632","74168.5","","[""stimuli/images/unity_stims/fam8/background/animate_05_8fam_background_new.mp4""]","39","","trial","44","4","stimuli/images/unity_stims/fam8/background/animate_05_8fam_background_new.mp4","background","5","8","",""
"","video-keyboard-response","23","659652","0.0-23.0","SS1693062133632","null","","[""stimuli/images/calibration_end.mp4""]","null","","calibration_end","","","","","","","",""
"","html-keyboard-response","24","676804","0.0-24.0","SS1693062133632","17151.5","","<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300; background-color: white; padding-right: 63.61px; padding-left: 63.61px; padding-bottom: 306.84px; padding-top: 306.84px; ""> That's it! Thank you so much for your participation! </span></p>","39","","","","","","","","","",""
"","survey-multi-choice","25","734837","0.0-25.0","SS1693062133632","58032.800000190735","","","","","","","","","","","","{""Consent"":""<b>Option 3 (General Public)</b>: Like Option 2 but includes more public venues. You would like to share your child’s data to help us communicate our research with the general public. Your child’s data will never be used for commercial purposes. <br></h1>""}","0"
